Subclass,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
i-Motif_G-Quadruplex_Overlap,1,32.0,1.212,0.0002,0.001,Escherichia coli_genome.fna
Two-tetrad weak PQS,20457,21.429,1.007,5.2328,10.69,Cellulomonas shaoxiangyii_genome.fna
Z-DNA,8552,11.615,1.052,2.1876,2.322,Cellulomonas shaoxiangyii_genome.fna
Cruciform forming IRs,4947,23.185,1.116,1.2654,2.807,Cellulomonas shaoxiangyii_genome.fna
Mixed_Cluster_3_classes,3482,646.501,1.192,0.8907,55.572,Cellulomonas shaoxiangyii_genome.fna
Relaxed i-motif,1948,35.218,1.844,0.4983,1.705,Cellulomonas shaoxiangyii_genome.fna
Bulged G4,1830,31.743,1.04,0.4681,1.439,Cellulomonas shaoxiangyii_genome.fna
Mixed_Cluster_4_classes,1709,1033.426,1.299,0.4372,44.288,Cellulomonas shaoxiangyii_genome.fna
R-loop formation sites,1621,1597.725,2.585,0.4146,65.913,Cellulomonas shaoxiangyii_genome.fna
A-philic DNA,1524,10.795,1.05,0.3898,0.382,Cellulomonas shaoxiangyii_genome.fna
Intramolecular G-triplex,989,16.618,1.014,0.253,0.395,Cellulomonas shaoxiangyii_genome.fna
Extended-loop canonical,830,36.912,1.068,0.2123,0.762,Cellulomonas shaoxiangyii_genome.fna
Canonical i-motif,692,25.588,1.716,0.177,0.435,Cellulomonas shaoxiangyii_genome.fna
Mixed_Cluster_5_classes,566,1256.058,1.321,0.1448,18.072,Cellulomonas shaoxiangyii_genome.fna
Cruciform_G-Quadruplex_Overlap,393,31.86,1.072,0.1005,0.31,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_Cruciform_Overlap,300,31.863,1.075,0.0767,0.237,Cellulomonas shaoxiangyii_genome.fna
Direct Repeat,299,31.09,1.07,0.0765,0.23,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_i-Motif_Overlap,224,47.371,1.486,0.0573,0.265,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_R-Loop_Overlap,191,1669.236,1.844,0.0489,8.13,Cellulomonas shaoxiangyii_genome.fna
eGZ,188,12.223,1.0,0.0481,0.054,Cellulomonas shaoxiangyii_genome.fna
A-philic_DNA_G-Quadruplex_Overlap,144,25.986,1.036,0.0368,0.092,Cellulomonas shaoxiangyii_genome.fna
Z-DNA_Cruciform_Overlap,122,26.041,1.095,0.0312,0.078,Cellulomonas shaoxiangyii_genome.fna
Cruciform_Z-DNA_Overlap,117,27.214,1.1,0.0299,0.078,Cellulomonas shaoxiangyii_genome.fna
Canonical intramolecular G4,107,25.907,1.028,0.0274,0.068,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_A-philic_DNA_Overlap,106,26.66,1.04,0.0271,0.07,Cellulomonas shaoxiangyii_genome.fna
i-Motif_G-Quadruplex_Overlap,93,42.72,1.414,0.0238,0.099,Cellulomonas shaoxiangyii_genome.fna
Mixed_Cluster_6_classes,92,1611.196,1.354,0.0235,3.786,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_Z-DNA_Overlap,89,27.18,1.033,0.0228,0.06,Cellulomonas shaoxiangyii_genome.fna
Z-DNA_G-Quadruplex_Overlap,81,25.802,1.028,0.0207,0.051,Cellulomonas shaoxiangyii_genome.fna
R-Loop_G-Quadruplex_Overlap,75,1629.373,1.814,0.0192,3.124,Cellulomonas shaoxiangyii_genome.fna
Cruciform_i-Motif_Overlap,55,40.491,1.458,0.0141,0.056,Cellulomonas shaoxiangyii_genome.fna
i-Motif_R-Loop_Overlap,51,1743.588,2.296,0.013,2.273,Cellulomonas shaoxiangyii_genome.fna
R-Loop_i-Motif_Overlap,51,1783.706,2.342,0.013,2.326,Cellulomonas shaoxiangyii_genome.fna
i-Motif_A-philic_DNA_Overlap,47,33.66,1.416,0.012,0.039,Cellulomonas shaoxiangyii_genome.fna
A-philic_DNA_i-Motif_Overlap,43,34.86,1.423,0.011,0.037,Cellulomonas shaoxiangyii_genome.fna
i-Motif_Cruciform_Overlap,42,40.548,1.497,0.0107,0.042,Cellulomonas shaoxiangyii_genome.fna
Slipped_DNA_G-Quadruplex_Overlap,39,40.872,1.054,0.01,0.04,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,39,38.667,1.054,0.01,0.038,Cellulomonas shaoxiangyii_genome.fna
i-Motif_Slipped_DNA_Overlap,34,43.559,1.535,0.0087,0.037,Cellulomonas shaoxiangyii_genome.fna
R-Loop_Cruciform_Overlap,32,1672.5,1.904,0.0082,1.368,Cellulomonas shaoxiangyii_genome.fna
STR,32,28.406,1.037,0.0082,0.022,Cellulomonas shaoxiangyii_genome.fna
Slipped_DNA_i-Motif_Overlap,32,43.406,1.497,0.0082,0.035,Cellulomonas shaoxiangyii_genome.fna
Cruciform_R-Loop_Overlap,27,1499.852,1.812,0.0069,1.035,Cellulomonas shaoxiangyii_genome.fna
R-Loop_A-philic_DNA_Overlap,23,1630.826,1.839,0.0059,0.959,Cellulomonas shaoxiangyii_genome.fna
A-philic_DNA_R-Loop_Overlap,16,1520.062,1.784,0.0041,0.622,Cellulomonas shaoxiangyii_genome.fna
Cruciform_A-philic_DNA_Overlap,16,28.0,1.104,0.0041,0.011,Cellulomonas shaoxiangyii_genome.fna
A-philic_DNA_Cruciform_Overlap,13,27.154,1.09,0.0033,0.009,Cellulomonas shaoxiangyii_genome.fna
Slipped_DNA_Cruciform_Overlap,11,39.0,1.097,0.0028,0.011,Cellulomonas shaoxiangyii_genome.fna
Z-DNA_R-Loop_Overlap,9,1880.222,1.967,0.0023,0.433,Cellulomonas shaoxiangyii_genome.fna
R-Loop_Z-DNA_Overlap,8,965.5,1.496,0.002,0.197,Cellulomonas shaoxiangyii_genome.fna
Slipped_DNA_R-Loop_Overlap,5,1796.6,1.915,0.0013,0.23,Cellulomonas shaoxiangyii_genome.fna
Mixed_Cluster_7_classes,4,2110.5,1.332,0.001,0.216,Cellulomonas shaoxiangyii_genome.fna
Triplex,4,24.25,1.164,0.001,0.002,Cellulomonas shaoxiangyii_genome.fna
R-Loop_Slipped_DNA_Overlap,3,1972.0,2.022,0.0008,0.151,Cellulomonas shaoxiangyii_genome.fna
Slipped_DNA_Z-DNA_Overlap,2,26.5,1.043,0.0005,0.001,Cellulomonas shaoxiangyii_genome.fna
G-Quadruplex_Triplex_Overlap,2,48.5,1.174,0.0005,0.002,Cellulomonas shaoxiangyii_genome.fna
Cruciform_Slipped_DNA_Overlap,2,29.0,1.084,0.0005,0.001,Cellulomonas shaoxiangyii_genome.fna
i-Motif_Triplex_Overlap,2,33.5,1.538,0.0005,0.002,Cellulomonas shaoxiangyii_genome.fna
Triplex_i-Motif_Overlap,1,27.0,1.482,0.0003,0.001,Cellulomonas shaoxiangyii_genome.fna
Triplex_Slipped_DNA_Overlap,1,33.0,1.111,0.0003,0.001,Cellulomonas shaoxiangyii_genome.fna
Triplex_G-Quadruplex_Overlap,1,53.0,1.18,0.0003,0.001,Cellulomonas shaoxiangyii_genome.fna
Higher-order G4 array/G4-wire,1,37.0,1.1,0.0003,0.001,Cellulomonas shaoxiangyii_genome.fna
AC-motif,1,27.0,1.9,0.0003,0.001,Cellulomonas shaoxiangyii_genome.fna
Two-tetrad weak PQS,21152,21.299,1.007,6.276,12.739,Miltoncostaea marina_genome.fna
Z-DNA,7428,11.683,1.054,2.204,2.354,Miltoncostaea marina_genome.fna
Cruciform forming IRs,5207,22.981,1.121,1.545,3.396,Miltoncostaea marina_genome.fna
Mixed_Cluster_3_classes,3310,645.083,1.177,0.9821,61.142,Miltoncostaea marina_genome.fna
Bulged G4,2283,31.79,1.04,0.6774,2.086,Miltoncostaea marina_genome.fna
A-philic DNA,1954,10.884,1.052,0.5798,0.573,Miltoncostaea marina_genome.fna
Mixed_Cluster_4_classes,1679,998.334,1.267,0.4982,48.734,Miltoncostaea marina_genome.fna
Relaxed i-motif,1610,34.794,1.834,0.4777,1.614,Miltoncostaea marina_genome.fna
R-loop formation sites,1375,1651.396,2.64,0.408,67.031,Miltoncostaea marina_genome.fna
Intramolecular G-triplex,942,16.478,1.015,0.2795,0.433,Miltoncostaea marina_genome.fna
Extended-loop canonical,636,36.594,1.064,0.1887,0.672,Miltoncostaea marina_genome.fna
Canonical i-motif,610,25.308,1.72,0.181,0.44,Miltoncostaea marina_genome.fna
Mixed_Cluster_5_classes,604,1205.334,1.296,0.1792,21.417,Miltoncostaea marina_genome.fna
Cruciform_G-Quadruplex_Overlap,515,31.138,1.077,0.1528,0.461,Miltoncostaea marina_genome.fna
G-Quadruplex_Cruciform_Overlap,470,31.517,1.075,0.1395,0.426,Miltoncostaea marina_genome.fna
eGZ,407,12.361,1.0,0.1208,0.137,Miltoncostaea marina_genome.fna
